                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.32255,                0.41015,                0.86069,                0.99741,                      1,                  0.995,                0.97652,                0.29289,                0.41246,                0.81282,              0.0008318,              0.0008318,              0.0008318
                     62,                0.34043,                0.41089,                0.88754,                0.99738,                      1,                  0.995,                0.98651,                0.24523,                0.37293,                 0.8093,               0.000812,               0.000812,               0.000812
                     63,                0.36165,                 0.4054,                0.85365,                0.99737,                      1,                  0.995,                  0.995,                0.25612,                0.39468,                0.81194,              0.0007922,              0.0007922,              0.0007922
                     64,                0.38287,                0.40851,                0.89755,                0.99738,                      1,                  0.995,                0.98551,                0.29738,                0.46426,                0.81678,              0.0007724,              0.0007724,              0.0007724
                     65,                0.31362,                0.39053,                0.84746,                0.99736,                      1,                  0.995,                0.96804,                0.31396,                0.47167,                0.82189,              0.0007526,              0.0007526,              0.0007526
                     66,                0.33624,                0.39107,                0.89124,                0.99743,                      1,                  0.995,                0.98577,                0.26922,                0.40611,                0.81836,              0.0007328,              0.0007328,              0.0007328
                     67,                 0.3698,                0.39753,                0.89105,                 0.9975,                      1,                  0.995,                0.98164,                0.22847,                0.35805,                0.81065,               0.000713,               0.000713,               0.000713
                     68,                 0.3257,                0.37123,                0.87908,                0.99743,                      1,                  0.995,                0.96076,                0.24151,                 0.3598,                0.81037,              0.0006932,              0.0006932,              0.0006932
                     69,                0.33064,                0.36063,                0.88029,                 0.9974,                      1,                  0.995,                0.94653,                0.26151,                0.37837,                0.81041,              0.0006734,              0.0006734,              0.0006734
                     70,                0.26884,                0.37176,                0.85463,                0.99746,                      1,                  0.995,                0.93676,                0.33703,                0.37636,                 0.8168,              0.0006536,              0.0006536,              0.0006536
                     71,                0.32398,                0.37736,                0.90093,                0.99745,                      1,                  0.995,                0.94042,                0.35947,                 0.3831,                0.82128,              0.0006338,              0.0006338,              0.0006338
                     72,                0.32272,                 0.3783,                0.84081,                0.99749,                      1,                  0.995,                0.96999,                0.30992,                0.38449,                0.81902,               0.000614,               0.000614,               0.000614
